DATE,Time,STREET NAME,VEHICLES,TOTAL PEOPLE,PEDESTRIANS,BICYCLISTS,INJURIES,MAJOR INJURIES,FATALITIES 
12-Aug,1:10 a.m.,OXFORD AV,1,2,1,0,1,0,1
12-Aug,16:19 p.m.,53RD ST & DELANCEY ST,1,3,1,0,1,1,0
12-Aug,2:14 a.m.,HARTEL AV & ROOSEVELT BL,1,2,1,0,0,0,1
12-Jul,1:47 a.m.,DELAWARE AV,1,2,1,0,1,1,0
12-Aug,22:52 p.m.,ROOSEVELT BL,1,3,2,0,2,0,1
12-Aug,16:37 p.m.,FIFTYFIFTH ST,1,2,1,0,1,1,0
12-Sep,10:10 a.m.,MARKET ST,1,2,1,0,1,1,0
12-Sep,7:25 a.m.,KELLY DR,2,2,1,0,0,1,0
12-Aug,19:29 p.m.,PINE ST,1,2,1,0,1,1,0
12-Sep,21:55 p.m.,THOMPSON ST & DAUPHIN ST,1,4,1,0,2,1,0
12-Oct,5:15 a.m.,BROAD ST,1,3,1,0,1,1,0
12-Oct,20:00 p.m.,BROAD ST,1,2,1,0,1,1,0
12-Oct,16:00 p.m.,EDGEMONT ST,1,2,1,0,1,1,0
12-Sep,17:55 p.m.,GODFREY AV & TENTH ST,1,1,1,0,1,1,0
12-Sep,4:20 a.m.,QUEEN LN & WAYNE AV,2,3,1,0,2,1,0
12-Oct,19:58 p.m.,LEHIGH AV & GERMANTOWN AV,1,2,1,0,1,1,0
12-Oct,20:36 p.m.,OREGON AV & 10TH ST,1,2,0,1,0,0,2
12-Sep,13:00 p.m.,LEHIGH AV,1,2,1,0,1,1,0
12-Oct,19:17 p.m.,BUSTLETON AV,1,2,1,0,0,0,1
12-Oct,21:40 p.m.,RISING SUN AV,1,2,1,0,1,1,0
12-Oct,1:35 a.m.,GREENWAY AV,1,2,1,0,1,1,0
12-Oct,20:35 p.m.,SEDGLEY AV & TIOGA ST,0,5,1,0,1,1,0
12-Oct,2:38 a.m.,FIFTYSIXTH ST & CHESTNUT ST,1,2,1,0,0,0,1
12-Oct,12:52 p.m.,WEBSTER ST,1,3,1,0,1,1,0
12-Oct,18:57 p.m.,ARAMINGO AV & CASTOR AV,1,3,2,0,2,2,0
12-Oct,20:00 p.m.,TORRESDALE AV & PRATT ST,1,2,1,0,1,1,0
12-Nov,15:24 p.m.,WAYNE AV & SCHOOL HOUSE LN,1,2,1,0,1,1,0
